high_formula,high_mpid,low_formula,low_mpid,avg_voltage,battery_id
P(WO4)2,mp-504791,LiP(WO4)2,mp-763526,2.3251851700000024,mp-504791_Li
P3W2O13,mp-767085,LiP3W2O13,mp-763539,3.291747695000003,mp-763480_Li
P8W3O29,mp-777230,Li2P8W3O29,mp-777867,5.06257936249998,mp-1176966_Li
P2WO7,mvc-5592,LiP2WO7,mp-763367,3.2011691699999907,mvc-5592_Li
P2WO7,mp-773366,LiP2WO7,mp-763566,2.4383090549999955,mp-763566_Li
P4WO13,mp-761353,LiP4WO13,mp-761393,5.2324398250000055,mp-761353_Li
P4WO13,mp-767481,LiP4WO13,mp-763403,5.210250439999988,mp-763403_Li
P4WO12,mp-761345,LiP4WO12,mp-763455,3.0747908600000122,mp-761345_Li
P4WO12,mp-767578,LiP4WO12,mp-763392,3.323922764999997,mp-763392_Li
P4WO12,mp-767549,LiP4WO12,mp-763466,3.3888391849999997,mp-763466_Li
P4WO12,mp-767563,LiP4WO12,mp-1176594,3.646267255000003,mp-1176594_Li
P4WO12,mp-767776,LiP4WO12,mp-763463,3.522949280000011,mp-763463_Li
Li2MnOF3,mp-767180,Li3MnOF3,mp-779954,2.9889950150000053,mp-767180_Li
LiMn3OF8,mp-763875,Li4Mn3OF8,mp-764981,3.6555772033333316,mp-763875_Li
Mn5OF11,mp-767187,Li3Mn5OF11,mp-767196,3.8262685100000007,mp-767187_Li
Mn3OF6,mp-763854,Li2Mn3OF6,mp-764368,3.6714482399999944,mp-763854_Li
Mn4OF8,mp-767164,Li2Mn4OF8,mp-765945,3.6277133374999955,mp-765945_Li
Mn2OF3,mp-767172,LiMn2OF3,mp-767309,3.032714892499994,mp-767172_Li
Mn5O3F5,mp-767195,LiMn5O3F5,mp-765441,2.799764639999997,mp-765441_Li
Mn7O7F,mp-767193,LiMn7O7F,mp-764671,2.242338110000025,mp-764671_Li
Li9Fe4(BO3)8,mp-765296,Li3Fe(BO3)2,mp-765267,4.4685408399999975,mp-765267_Li
Li3Co2Cu3O10,mp-764235,Li5Co2Cu3O10,mp-761783,3.5871661350000017,mp-761783_Li
LiCo3CuO8,mp-761730,Li4Co3CuO8,mp-768017,3.19708087666667,mp-761730_Li
Fe(PO3)5,mp-540145,LiFe(PO3)5,mp-687200,5.400743890000007,mp-540145_Li
FeP4O13,mp-1101552,LiFeP4O13,mp-705398,5.711726372500015,mp-1101552_Li
Li3Fe3P8O29,mp-705437,Li6Fe3P8O29,mp-1177017,5.296617258333333,mp-1177017_Li
Li3FeP2O9,mp-540454,Li4FeP2O9,mp-540453,4.625299549999999,mp-540453_Li
Fe4P9O32,mp-1101549,Li3Fe4P9O32,mp-705390,5.144811168333334,mp-1101549_Li
Li2Fe(PO4)2,mp-762711,Li3Fe(PO4)2,mp-773399,4.9945237899999935,mp-762711_Li
